Name  attendance   quiz score homework score passed
John     90        85          80             1  
Alice    70        60          65,            0
Bob      95        90          88             1
Emma     50        40          55             0
Liam     80        70          75             1
Sophia   60        55          50             0
Noah     85        80          82             1
Olivia   75        65          70             0
Mason    88        78          85             1
Ava      55        50          60             0
